##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
17	37	-7.60334
18	1	-14.5859
18	2	-17.413
18	3	-13.0008
18	4	-16.8329
18	5	-9.37797
18	6	-13.6678
18	7	-13.6672
18	8	-19.5402
18	9	-26.3416
18	10	-18.0041
18	11	-16.0401
18	12	-12.4793
18	13	-13.015
18	14	-10.9974
18	15	-12.0747
18	16	-13.6426
18	17	-12.6772
18	18	-16.7926
18	19	-11.9707
18	20	-12.1449
18	21	-11.8941
18	22	-14.4091
18	23	-9.57888
18	24	-10.5748
18	25	-10.8123
18	26	-10.3549
18	27	-3.21758
18	28	-2.81969
18	29	-1.79275
18	30	-9.76411
18	31	-4.71401
18	32	-4.01159
18	33	-6.34939
18	34	-3.69396
18	35	-3.29445
18	36	-8.1725
18	37	-6.05705
19	1	0.820256
19	2	-3.43371
19	3	-7.24452
19	4	-6.36618
19	5	-10.9304
19	6	-9.78044
19	7	-2.97693
19	8	-8.35109
19	9	-8.83061
19	10	-9.30361
19	11	-8.2605
19	12	-8.42746
19	13	-7.70649
19	14	-0.138452
19	15	-1.89339
19	16	-9.24267
19	17	-8.9167
19	18	-8.57411
19	19	-8.57636
19	20	-7.73637
19	21	-10.4812
19	22	-7.4027
19	23	-6.3263
19	24	-7.88445
19	25	-7.39026
19	26	0.562211
19	27	-2.41267
19	28	-2.25098
19	29	-4.33142
19	30	-5.76672
19	31	-1.28795
19	32	-6.16929
19	33	-1.83338
19	34	-5.64206
19	35	-0.803153
19	36	-4.16174
19	37	-1.54962
20	1	0.97578
20	2	0.873401
20	3	1.11842
20	4	2.31229
20	5	2.5528
20	6	1.9906
20	7	1.017
20	8	1.80928
20	9	2.12662
20	10	2.09373
20	11	2.56294
20	12	1.67197
20	13	2.98116
20	14	1.5151
20	15	2.73438
20	16	2.30788
20	17	2.26171
20	18	-2.40006
20	19	2.78816
20	20	2.62735
20	21	1.66369
20	22	0.0274889
20	23	3.02214
20	24	2.92625
20	25	3.53861
20	26	2.25185
20	27	2.30733
20	28	3.58626
20	29	3.13672
20	30	2.22658
20	31	0.968763
20	32	2.17132
20	33	0.616664
20	34	2.02997
20	35	1.83666
20	36	2.29739
20	37	1.84627
21	1	-0.314171
21	2	-5.94308
21	3	0.612124
21	4	-6.8629
21	5	-12.6088
21	6	-8.41895
21	7	-12.3464
21	8	-11.3762
21	9	-13.3529
21	10	-8.20637
21	11	-14.4258
21	12	-5.2342
21	13	-12.8472
21	14	-1.60175
21	15	-5.61303
21	16	-8.87641
21	17	-9.87316
21	18	-10.003
21	19	-8.59822
21	20	-8.48079
21	21	-9.59626
21	22	-7.91589
21	23	-10.1952
21	24	-11.2122
21	25	-11.1168
21	26	-10.4021
21	27	-10.4816
21	28	-11.0183
21	29	-10.623
21	30	-7.14109
21	31	-8.35083
21	32	2.5119
21	33	0.852758
21	34	-6.58696
21	35	-5.48649
21	36	-4.6198
21	37	-7.09997
22	1	0.782147
22	2	1.78432
22	3	2.11053
22	4	1.9731
22	5	2.223
22	6	2.00343
22	7	1.80349
22	8	2.01646
22	9	2.81915
22	10	3.46886
22	11	3.82778
22	12	3.39826
22	13	4.12476
22	14	3.2353
22	15	4.0423
22	16	4.89093
22	17	4.83765
22	18	4.89165
22	19	5.0752
22	20	5.37358
22	21	3.6553
22	22	4.93101
22	23	5.75709
22	24	5.75638
22	25	5.32303
22	26	6.77507
22	27	4.24488
22	28	6.04984
22	29	4.47477
22	30	4.66793
22	31	1.4274
22	32	4.60575
22	33	5.33107
22	34	3.41008
22	35	2.73175
22	36	3.51954
22	37	1.58139
23	1	-15.1828
23	2	-23.8941
23	3	-17.0315
23	4	-9.28881
23	5	-14.3581
23	6	-4.89623
23	7	-0.244533
23	8	-0.00819218
23	9	3.23239
23	10	-12.7597
23	11	1.82537
23	12	2.17559
23	13	-11.2416
23	14	1.78551
23	15	-11.277
23	16	2.20562
23	17	-0.958184
23	18	2.78769
23	19	-1.36629
23	20	-7.74916
23	21	1.77325
23	22	4.21368
23	23	1.90742
23	24	-2.64011
23	25	1.80507
23	26	-4.1249
23	27	3.12415
23	28	2.49774
23	29	-4.68287
23	30	4.16416
23	31	2.34474
23	32	4.74669
23	33	1.54091
23	34	6.07214
23	35	1.58507
23	36	-0.336657
23	37	3.85624
24	1	-0.0894981
24	2	-4.56973
24	3	-19.1525
24	4	-1.83909
24	5	-3.1941
24	6	-15.1581
24	7	0.19662
24	8	1.81088
24	9	-1.66086
24	10	-2.3852
24	11	1.45177
24	12	1.37386
24	13	2.65015
24	14	1.45267
24	15	-2.82382
