##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461177_subsampled_forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1057657
Sequences flagged as poor quality	0
Sequence length	37
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
34	7	0.0884462
34	8	-0.0218387
34	9	0.0424384
34	10	0.0875236
34	11	0.181236
34	12	0.115805
34	13	-0.076609
34	14	0.195677
34	15	0.0719062
34	16	0.373119
34	17	-0.124844
34	18	-0.312958
34	19	0.517491
34	20	0.0528785
34	21	0.155343
34	22	0.0194296
34	23	-0.574806
34	24	-1.24067
34	25	0.187544
34	26	0.648137
34	27	0.843031
34	28	0.478134
34	29	-0.239111
34	30	-1.18143
34	31	1.2016
34	32	-0.604997
34	33	0.953589
34	34	1.66601
34	35	-1.08153
34	36	-1.5516
34	37	-1.75597
35	1	-0.0819983
35	2	0.0502064
35	3	-0.0540354
35	4	-0.0721678
35	5	-0.1485
35	6	-0.0305123
35	7	-0.0179788
35	8	-0.043667
35	9	0.0258
35	10	0.048478
35	11	0.154372
35	12	0.00195492
35	13	-0.11614
35	14	0.0956449
35	15	-0.0594066
35	16	0.268216
35	17	-0.157803
35	18	-0.049376
35	19	0.26445
35	20	0.137488
35	21	0.24514
35	22	-0.299828
35	23	0.0455663
35	24	-0.0240856
35	25	0.188731
35	26	-1.06246
35	27	-0.0613247
35	28	0.0408158
35	29	0.119211
35	30	-1.09685
35	31	0.748419
35	32	0.930299
35	33	-0.407359
35	34	1.60998
35	35	1.16491
35	36	0.494904
35	37	0.807274
36	1	-0.274503
36	2	0.0704948
36	3	0.0543012
36	4	0.0935173
36	5	-0.249421
